Tipos de Gentileza,"August 22, 2024 (Brazil)",10,"A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning, and a woman searches for an extraordinary individual prophesied to become a renowned spiritual guide."
Nosferatu,"December 25, 2024 (United States)",3,"A gothic tale of obsession between a haunted young woman, and the terrifying vampire infatuated with her causing untold horror in its wake."
Um Lugar Silencioso: Dia Um,"June 27, 2024 (Brazil)",4,A woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
Here,"November 28, 2024 (Brazil)",9,"From the reunited director, writer, and stars of Forrest Gump: O Contador de Histórias (1994), Here is an original film about multiple families and a special place they inhabit. The story travels through generations, capturing the human experience in its purest form."
Alerta de Risco,"June 21, 2024 (Brazil)",6,A devoted daughter is attempting to figure out the cause of her father's passing.
Assassino por Acaso,"June 12, 2024 (Brazil)",8,"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services."
Divertida Mente 2,"June 20, 2024 (Brazil)",1,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
Furiosa: Uma Saga Mad Max,"May 23, 2024 (Brazil)",2,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
Clube dos Vândalos,"June 20, 2024 (Brazil)",5,"After a chance encounter, headstrong Kathy is drawn to Benny, member of Midwestern motorcycle club the Vandals. As the club transforms into a dangerous underworld of violence, Benny must choose between Kathy and his loyalty to the club."
Horizon: An American Saga - Chapter 1,"June 28, 2024 (Brazil)",7,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Divertida Mente,"June 18, 2015 (Brazil)",12,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Bad Boys: Até o Fim,"June 6, 2024 (Brazil)",13,"This Summer, the world's favorite Bad Boys are back with their iconic mix of edge-of-your seat action and outrageous comedy but this time with a twist: Miami's finest are now on the run."
Tudo em Família,"June 28, 2024 (Brazil)",14,"An unexpected romance triggers comic consequences for a young woman, her mother, and her boss, grappling with the complications of love, sex, and identity."
Longlegs: Vínculo Mortal,"August 29, 2024 (Brazil)",18,"In pursuit of a serial killer, an FBI agent uncovers a series of occult clues that she must solve to end his terrifying killing spree."
Amigos Imaginários,"May 17, 2024 (Canada)",11,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
Operação Natal,"November 15, 2024 (Brazil)",16,"After Santa Claus (code name: Red One) is kidnapped, the North Pole's Head of Security (Dwayne Johnson) must team up with the world's most infamous bounty hunter (Chris Evans) in a globe-trotting, action-packed mission to save Christmas."
Kalki 2898-AD,"June 27, 2024 (Brazil)",17,"A modern-day avatar of Vishnu, a Hindu god, who is believed to have descended to earth to protect the world from evil forces."
Oppenheimer,"July 20, 2023 (Brazil)",19,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Deadpool & Wolverine,"July 25, 2024 (Brazil)",15,Wolverine is recovering from his injuries when he crosses paths with the loudmouth Deadpool. They team up to defeat a common enemy.
Os Observadores,"June 7, 2024 (Brazil)",20,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night."
MaXXXine,"July 11, 2024 (Brazil)",21,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.."
O Dublê,"May 2, 2024 (Brazil)",22,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.
Guerra Sem Regras,"July 25, 2024 (Brazil)",23,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
Mad Max: Estrada da Fúria,"May 14, 2015 (Brazil)",24,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max."
Herege,"November 21, 2024 (Brazil)",25,Plot under wraps. Rumored to follow two young women of religion who are drawn into a game of cat and mouse in the house of a strange man.
